name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Venezuela,VEN,VEF,5900,2615.92,4311.999,,2006-01-01
South Africa,ZAF,ZAR,13.95,6.0803,5392.861,34784.402,2006-01-01
UAE,ARE,AED,9,3.6726,39389.226,144656.934,2006-05-01
Argentina,ARG,ARS,7,3.0565,5163.55,15094.732,2006-05-01
Australia,AUS,AUD,3.25,1.33253,36319.707,47548.677,2006-05-01
Brazil,BRA,BRL,6.4,2.3045,4806.171,11700.103,2006-05-01
Canada,CAN,CAD,3.52,1.12045,36440.967,44144.774,2006-05-01
Switzerland,CHE,CHF,6.3,1.20885,57238.65,71272.232,2006-05-01
Chile,CHL,CLP,1560,529.95,7551.076,4226847.083,2006-05-01
China,CHN,CNY,10.5,8.026,1779.327,14574.192,2006-05-01
Colombia,COL,COP,6500,2503.6,3493.965,8109953.926,2006-05-01
Costa Rica,CRI,CRC,1130,509.535,4756.337,2271994.957,2006-05-01
Czech Republic,CZE,CZK,59.05,22.1078,13458.775,322437.47,2006-05-01
Denmark,DNK,DKK,27.75,5.81825,48998.314,293838.476,2006-05-01
Egypt,EGY,EGP,9.5,5.77075,1331.362,8008.765,2006-05-01
Euro area,EUZ,EUR,2.939573529,0.780365992,33259.7521049953,26719.4267628036,2006-05-01
Britain,GBR,GBP,1.94,0.531801744,42279.458,23227.6,2006-05-01
Hong Kong,HKG,HKD,12,7.7533,26551.769,206517.447,2006-05-01
Hungary,HUN,HUF,560,206.3444,11200.063,2235336.601,2006-05-01
Indonesia,IDN,IDR,14600,9325,1404.348,13628832.87,2006-05-01
Japan,JPN,JPY,250,112.105,38164.951,4206472.697,2006-05-01
South Korea,KOR,KRW,2500,952.4,20162.881,20653410.12,2006-05-01
Sri Lanka,LKA,LKR,190,102.955,1477.595,148459.868,2006-05-01
Mexico,MEX,MXN,29,11.3031,8626.151,94006.861,2006-05-01
Malaysia,MYS,MYR,5.5,3.6295,5678.332,21504.443,2006-05-01
Norway,NOR,NOK,43,6.1023,67234.767,433159.988,2006-05-01
New Zealand,NZL,NZD,4.45,1.62101,27385.166,38879.594,2006-05-01
Pakistan,PAK,PKR,130,60.055,948.828,56320.125,2006-05-01
Peru,PER,PEN,9.5,3.261,2671.322,8825.157,2006-05-01
Philippines,PHL,PHP,85,52.625,1261.241,69476.107,2006-05-01
Poland,POL,PLN,6.5,3.09915,8046.3,26020.26,2006-05-01
Russia,RUS,RUB,48,27.06375,5655.11,160126.132,2006-05-01
Saudi Arabia,SAU,SAR,9,3.749,15943.431,59787.867,2006-05-01
Singapore,SGP,SGD,3.6,1.5873,29961.308,49867.527,2006-05-01
Sweden,SWE,SEK,33,7.28455,43291.313,323519.809,2006-05-01
Thailand,THA,THB,60,38.445,2867.704,115339.421,2006-05-01
Turkey,TUR,TRY,4.2,1.5415,7405.476,9979.722,2006-05-01
Taiwan,TWN,TWD,75,32.141,16427.459,528611.003,2006-05-01
Ukraine,UKR,UAH,8.5,5.05,1909.798,9782.52,2006-05-01
Uruguay,URY,UYU,42.28,23.925,5663.5,138315.873,2006-05-01
United States,USA,USD,2.78,1,44034.256,44034.256,2006-05-01
Venezuela,VEN,VEF,5701.25,2519.58,5421.656,,2006-05-01
South Africa,ZAF,ZAR,13.95,6.597,6007.979,38222.259,2006-05-01
UAE,ARE,AED,10,3.6726,39389.226,144656.934,2007-01-01
Argentina,ARG,ARS,8.25,3.08875,5163.55,15094.732,2007-01-01
Australia,AUS,AUD,3.45,1.266865,36319.707,47548.677,2007-01-01
Brazil,BRA,BRL,6.4,2.1335,4806.171,11700.103,2007-01-01
Canada,CAN,CAD,3.63,1.17485,36440.967,44144.774,2007-01-01
Switzerland,CHE,CHF,6.3,1.2485,57238.65,71272.232,2007-01-01
Chile,CHL,CLP,1670,540.15,7551.076,4226847.083,2007-01-01
China,CHN,CNY,11,7.7743,1779.327,14574.192,2007-01-01
Colombia,COL,COP,6900,2239.325,3493.965,8109953.926,2007-01-01
Costa Rica,CRI,CRC,1130,509.535,4756.337,2271994.957,2007-01-01
