date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2001-04-01,KOR,KRW,South Korea,3000,1325,2.26415094339623,0.01078,0.00113,-0.20436,-0.04505,0.89365,10733.1904512,1.77805656081733,0.35851,0.12911,-0.09324,0.23634,0.66623
2001-04-01,MEX,MXN,Mexico,21.9,9.29,2.35737351991389,0.0524,0.04235,-0.1716,-0.00573,0.97162,7222.38392694064,1.69410245174308,0.48454,0.23386,-0.00912,0.35103,0.82081
2001-04-01,MYS,MYR,Malaysia,4.52,3.8,1.18947368421053,-0.46898,-0.47406,-0.58201,-0.49832,-0.00517,8187.58307964602,1.71718331204816,-0.26101,-0.38579,-0.50675,-0.32746,-0.09361
2001-04-01,NZL,NZD,New Zealand,3.6,2.47,1.45748987854251,-0.34933,-0.35555,-0.48783,-0.38528,0.21899,19075.7647111111,1.97755299690316,-0.21371,-0.34648,-0.47518,-0.28443,-0.03561
2001-04-01,PHL,PHP,Philippines,59,50.3,1.17296222664016,-0.47636,-0.48136,-0.58781,-0.50528,-0.01898,1824.32422508475,1.56501835386772,-0.20041,-0.33543,-0.4663,-0.27232,-0.01929
2001-04-01,POL,PLN,Poland,5.9,4.03,1.46401985111663,-0.34642,-0.35266,-0.48553,-0.38252,0.22445,7423.70928813559,1.6989167561533,-0.08066,-0.23589,-0.38637,-0.16333,0.12759
2001-04-01,RUS,RUB,Russia,35,28.9,1.21107266435986,-0.45934,-0.46451,-0.57442,-0.48921,0.0129,3414.43328,1.60304271895701,-0.19401,-0.33011,-0.46203,-0.2665,-0.01144
2001-04-01,SGP,SGD,Singapore,3.3,1.81,1.8232044198895,-0.18607,-0.19384,-0.35931,-0.23103,0.52486,27912.7160242424,2.18887149859217,-0.11138,-0.26143,-0.40687,-0.19129,0.08991
2001-04-01,SWE,SEK,Sweden,24,10.28,2.33463035019455,0.04225,0.03229,-0.17959,-0.01533,0.9526,25309.4972666667,2.12662058558757,0.1712,-0.02657,-0.21826,0.06587,0.4365
2001-04-01,THA,THB,Thailand,55,45.5,1.20879120879121,-0.46036,-0.46552,-0.57522,-0.49017,0.01099,3277.05288145455,1.59975753394769,-0.19388,-0.33,-0.46194,-0.26637,-0.01128
2001-04-01,TWN,TWD,Taiwan,70,32.9,2.12765957446809,-0.05015,-0.05922,-0.25232,-0.10262,0.7795,14836.75696,1.8761853719303,0.20984,0.00555,-0.19247,0.10104,0.48389
2001-04-01,USA,USD,United States,2.24,1,2.24,0,-0.00955,-0.21285,-0.05524,0.87345,36312.782,2.38974273723396,0,-0.16886,-0.33253,-0.08993,0.22652
2001-04-01,ZAF,ZAR,South Africa,9.7,8.13,1.19311193111931,-0.46736,-0.47245,-0.58073,-0.49678,-0.00212,5416.45601649485,1.65091719851817,-0.22899,-0.35918,-0.48538,-0.29833,-0.05435
2002-04-01,ARG,ARS,Argentina,2.5,3.13,0.798722044728435,-0.66012,-0.66388,-0.72319,-0.60369,-0.37015,7600.23464,1.85857015818863,-0.54843,-0.61384,-0.67576,-0.46923,-0.40971
2002-04-01,AUS,AUD,Australia,3,1.86,1.61290322580645,-0.31366,-0.32125,-0.44103,-0.1997,0.27189,29568.0086333333,2.3133539478066,-0.26739,-0.37351,-0.47396,-0.13889,-0.04233
2002-04-01,BRA,BRL,Brazil,3.6,2.34,1.53846153846154,-0.34534,-0.35258,-0.46683,-0.23664,0.21319,4852.41904166667,1.80168401253907,-0.10274,-0.23272,-0.35575,0.05463,0.17289
2002-04-01,CAN,CAD,Canada,3.33,1.57,2.12101910828025,-0.09744,-0.10743,-0.26494,0.05241,0.67258,26079.3303603604,2.24113022927135,-0.00554,-0.1496,-0.28595,0.16887,0.29995
2002-04-01,CHE,CHF,Switzerland,6.3,1.66,3.79518072289157,0.61497,0.5971,0.31526,0.8831,1.99277,25390.9644285714,2.22687946052264,0.79079,0.53137,0.28583,1.10487,1.34091
2002-04-01,CHL,CLP,Chile,1400,655,2.13740458015267,-0.09047,-0.10053,-0.25926,0.06054,0.6855,4903.78755682143,1.80274745975025,0.24583,0.06536,-0.10546,0.46434,0.62855
2002-04-01,CHN,CNY,China,10.5,8.28,1.26811594202899,-0.46038,-0.46635,-0.56052,-0.37078,0,1961.51926190476,1.74183569301225,-0.235,-0.34582,-0.45071,-0.10083,0
2002-04-01,CZE,CZK,Czech Republic,56.28,34,1.65529411764706,-0.29562,-0.30342,-0.42634,-0.17867,0.30532,10575.8604140014,1.92017250198532,-0.09418,-0.2254,-0.34959,0.06469,0.18409
2002-04-01,DNK,DKK,Denmark,24.75,8.38,2.95346062052506,0.25679,0.24288,0.02355,0.46546,1.32901,24358.1686323232,2.20549819602758,0.40713,0.20329,0.01035,0.65392,0.83939
2002-04-01,EUZ,EUR,Euro area,2.67,1.123595506,2.37629999919206,0.01119,0,-0.17647,0.17908,0.87388,20964.3436383968,2.13523816000816,0.1694,0,-0.16034,0.3745,0.52863
2002-04-01,GBR,GBP,Britain,1.99,0.689655172,2.8855000017313,0.22787,0.21428,0,0.43174,1.27542,22984.4572361809,2.17705918920018,0.39271,0.19096,0,0.63697,0.82054
2002-04-01,HKG,HKD,Hong Kong,11.2,8,1.4,-0.40426,-0.41085,-0.51482,-0.30534,0.104,41187.4510401786,2.55390331128041,-0.42399,-0.50743,-0.58641,-0.32296,-0.24704
2002-04-01,HUN,HUF,Hungary,459,272,1.6875,-0.28191,-0.28986,-0.41518,-0.16269,0.33071,7736.48179008715,1.86139078968548,-0.04739,-0.18539,-0.316,0.11969,0.24524
2002-04-01,IDN,IDR,Indonesia,16000,9430,1.69671261930011,-0.27799,-0.28599,-0.41199,-0.15812,0.33798,1257.0998884625,1.72725258084842,0.03219,-0.11733,-0.25886,0.21323,0.34928
2002-04-01,ISR,ILS,Israel,12,4.79,2.50521920668058,0.06605,0.05425,-0.13179,0.24305,0.97554,17260.9117583333,2.05856854452876,0.27876,0.09352,-0.08182,0.50304,0.67159
2002-04-01,JPN,JPY,Japan,262,130,2.01538461538462,-0.14239,-0.15188,-0.30155,0,0.58927,38058.7909753817,2.48913280330238,-0.14922,-0.27246,-0.38912,0,0.11214
2002-04-01,KOR,KRW,South Korea,3100,1304,2.37730061349693,0.01162,0.00042,-0.17612,0.17958,0.87467,11725.7643893548,1.94397817696025,0.28499,0.09885,-0.07734,0.51037,0.67974
2002-04-01,MEX,MXN,Mexico,21.9,9.28,2.35991379310345,0.00422,-0.0069,-0.18215,0.17095,0.86096,7921.8943173516,1.86522925833586,0.32945,0.13687,-0.04542,0.56262,0.73785
2002-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,-0.43561,-0.44186,-0.54035,-0.3419,0.04589,7422.27124007937,1.85488590372326,-0.24866,-0.3575,-0.46052,-0.11688,-0.01785
2002-04-01,NOR,NOK,Norway,35,8.56,4.08878504672897,0.73991,0.72065,0.41701,1.02879,2.2243,23189.3185185714,2.18130029211666,0.96964,0.68432,0.41426,1.3151,1.5747
2002-04-01,NZL,NZD,New Zealand,3.6,2.24,1.60714285714286,-0.31611,-0.32368,-0.44303,-0.20256,0.26735,21212.4643055556,2.14037483235954,-0.21101,-0.3253,-0.43348,-0.07263,0.03137
2002-04-01,PER,PEN,Peru,8.5,3.43,2.47813411078717,0.05453,0.04285,-0.14118,0.22961,0.95419,1852.19258823529,1.73957237771354,0.49689,0.28005,0.07481,0.75943,0.95673
2002-04-01,PHL,PHP,Philippines,65,51,1.27450980392157,-0.45766,-0.46366,-0.55831,-0.36761,0.00504,1850.87778769231,1.73954515829779,-0.23013,-0.34166,-0.44721,-0.09511,0.00637
2002-04-01,POL,PLN,Poland,5.9,4.04,1.46039603960396,-0.37855,-0.38543,-0.49388,-0.27538,0.15163,8158.401,1.87012549431486,-0.17944,-0.29831,-0.41082,-0.03553,0.07263
2002-04-01,RUS,RUB,Russia,39,31.2,1.25,-0.46809,-0.47397,-0.5668,-0.37977,-0.01429,3951.68486025641,1.78303672926929,-0.26336,-0.37007,-0.47107,-0.13416,-0.03706
2002-04-01,SGP,SGD,Singapore,3.3,1.82,1.81318681318681,-0.22843,-0.23697,-0.37162,-0.10033,0.42983,27687.220030303,2.27441726862299,-0.16231,-0.28366,-0.39852,-0.01539,0.09502
2002-04-01,SWE,SEK,Sweden,26,10.4,2.5,0.06383,0.05206,-0.1336,0.24046,0.97143,25411.4587269231,2.22730373995454,0.17942,0.00857,-0.15314,0.38628,0.54173
2002-04-01,THA,THB,Thailand,55,43.3,1.270207852194,-0.45949,-0.46547,-0.5598,-0.36974,0.00165,3587.95321,1.77550664186226,-0.24827,-0.35717,-0.46024,-0.11643,-0.01735
2002-04-01,TUR,TRY,Turkey,4e+06,1324500,3.02000755001888,0.28511,0.27089,0.04661,0.49848,1.38149,0.00223409565,1.70122774850327,0.86532,0.59511,0.33935,1.19248,1.43834
2002-04-01,TWN,TWD,Taiwan,70,34.8,2.01149425287356,-0.14404,-0.15352,-0.3029,-0.00193,0.58621,15162.4670942857,2.01512588088387,0.04888,-0.10306,-0.24688,0.23284,0.37109
2002-04-01,USA,USD,United States,2.35,1,2.35,0,-0.01107,-0.18558,0.16603,0.85314,37101.453,2.46931369042725,0,-0.14486,-0.28197,0.17539,0.30719
2002-04-01,VEN,VEF,Venezuela,2500,857,2.9171528588098,0.24134,0.2276,0.01097,0.44744,1.30038,,,,,,,
2002-04-01,ZAF,ZAR,South Africa,9.7,10.9,0.889908256880734,-0.62132,-0.62551,-0.69159,-0.55844,-0.29824,6177.72385051547,1.82912089092056,-0.48878,-0.56283,-0.63293,-0.39911,-0.33173
2003-04-01,ARG,ARS,Argentina,4.1,2.88,1.42361111111111,-0.4213,-0.52244,-0.54723,-0.34796,0.19066,5589.438,1.88502962911244,-0.15269,-0.40851,-0.42196,-0.03325,0.13584
2003-04-01,AUS,AUD,Australia,3,1.61,1.86335403726708,-0.24254,-0.37492,-0.40737,-0.14656,0.55844,32777.47132,2.62021049932408,-0.20214,-0.44303,-0.45569,-0.08966,0.06956
2003-04-01,BRA,BRL,Brazil,4.55,3.07,1.48208469055375,-0.39753,-0.50282,-0.52863,-0.32118,0.23956,4491.07277802198,1.85532916897986,-0.10377,-0.37436,-0.38858,0.02257,0.20143
2003-04-01,CAN,CAD,Canada,3.2,1.45,2.20689655172414,-0.10289,-0.25968,-0.29811,0.01079,0.84577,29310.6001875,2.5264642063832,-0.01997,-0.31587,-0.33142,0.11818,0.31376
2003-04-01,CHE,CHF,Switzerland,6.3,1.37,4.5985401459854,0.86933,0.54262,0.46255,1.1062,2.84605,26346.4660666667,2.44631222640254,1.109,0.47224,0.43878,1.4063,1.82718
